id,username,email,firstname,lastname,idnumber,institution,department,phone1,phone2,city,url,icq,skype,aim,yahoo,msn,country,password
2,admin,ldtouchton@gmail.com,Admin,User,,,,,,,,,,,,,US,123
3,eddie,ldtouchton@yahoo.com,Eddie,TheSaur,,,,,,,,,,,,,,123
4,leah,leahdantin@yahoo.com,Leah,Dantin,,,,,,,,,,,,,,123
5,trixietops,trixie@jurassic.edu,Trixie,Tops,,,,,,,,,,,,,,123
6,spencerrus,spencerr@jurassic.edu,Spencer,Rus,,,,,,,,,,,,,,123
7,meglos,megl@jurassic.edu,Meg,Los,,,,,,,,,,,,,,123
8,allyzaur,allyzaur@jurassic.edu,Ally,Zaur,,,,,,,,,,,,,,123
9,terrydactyl,terryd@jurassic.edu,Terry,Dactyl,,,,,,,,,,,,,,123
10,barryonyx,barryonyx@jurassic.edu,Barry,Onyx,,,,,,,,,,,,,,123
11,cammyaras,cammyaras@jurassic.edu,Cammy,Aras,,,,,,,,,,,,,,123
12,corylus,corylus@jurassic.edu,Cory,Lus,,,,,,,,,,,,,,123
13,iggynodon,iggynodon@jurassic.edu,Iggy,Nodon,,,,,,,,,,,,,,123
14,janeschia,janeschia@jurassic.edu,Jane,Schia,,,,,,,,,,,,,,123
15,ziggyongosaur,ziggyongosaur@jurassic.edu,Ziggy,Ongosaur,,,,,,,,,,,,,,123
16,nickingia,nickingia@jurassic.edu,Nick,Ingia,,,,,,,,,,,,,,123
17,pennytops,pennytops@jurassic.edu,Penny,Tops,,,,,,,,,,,,,,123
18,pauldros,pauldros@jurassic.edu,Paul,Dros,,,,,,,,,,,,,,123
19,emmavenator,emmavenator@jurassic.edu,Emma,Venator,,,,,,,,,,,,,,123
20,katemimus,katemimus@jurassic.edu,Kate,Mimus,,,,,,,,,,,,,,123
21,lillyteryx,lillyteryx@jurassic.edu,Lilly,Teryx,,,,,,,,,,,,,,123
22,edsaursr,edsaursr@example.com,Edward,Saur Sr.,,,,,,,,,,,,,,123
23,dixietops,dixietops@example.com,Dixie,Tops,,,,,,,,,,,,,,123
24,jennerrus,jennerrus@example.com,Jenner,Rus,,,,,,,,,,,,,,123
25,greglos,greglos@example.com,Greg,Los,,,,,,,,,,,,,,123
26,sallyzaur,sallyzaur@example.com,Sally,Zaur,,,,,,,,,,,,,,123
27,garydactyl,garydactyl@example.com,Garry,Dactyl,,,,,,,,,,,,,,123
28,kerryonyx,kerryonyx@example.com,Kerry,Onyx,,,,,,,,,,,,,,123
29,sammyaras,sammyaras@example.com,Sammy ,Aras,,,,,,,,,,,,,,123
30,lorilus,lorilus@example.com,Lori,Lus,,,,,,,,,,,,,,123
31,mickeyongosaur,mickeyongosaur@example.com,Mcikey,Ongosaur,,,,,,,,,,,,,,123
32,rickingia,rickingia@example.com,Rick,Ingia,,,,,,,,,,,,,,123
33,jennytops,jennytops@example.com,Jenny,Tops,,,,,,,,,,,,,,123
34,sauldros,sauldros@example.com,Saul,Dros,,,,,,,,,,,,,,123
35,gemmavenator,gemmavenator@example.com,Gemma,Venator,,,,,,,,,,,,,,123
36,natemimus,natemimus@example.com,Nate,Mimus,,,,,,,,,,,,,,123
37,tillyteryx,tillyteryx@example.com,Tilly,Teryx,,,,,,,,,,,,,,123
